TimePeriod,GeoType,GeoID,GeoRank,Geography,Nitric Oxide Mean ppb,PM2.5 Mean mcg/m3,Black Carbon Mean absorbance units,Nitrogen Dioxide Mean ppb
Winter 2020-21,UHF42,304,4,Upper West Side,17,6.8,0.7,22.8
Winter 2020-21,UHF42,305,4,Upper East Side,18.8,7.1,0.7,24
Winter 2020-21,UHF42,306,4,Chelsea - Clinton,21.4,8.6,0.9,26.7
Winter 2020-21,UHF42,307,4,Gramercy Park - Murray Hill,21,8.3,0.8,27
Winter 2020-21,UHF42,308,4,Greenwich Village - SoHo,21.4,8.4,0.8,25.4
Winter 2020-21,UHF42,309,4,Union Square - Lower East Side,19.2,7.9,0.7,24.1
Winter 2020-21,UHF42,310,4,Lower Manhattan,18.9,7.7,0.8,25.7
Winter 2020-21,UHF42,401,4,Long Island City - Astoria,21.3,7.4,0.7,23.1
Winter 2020-21,UHF42,402,4,West Queens,23.2,7.4,0.8,22.9
Winter 2020-21,UHF42,403,4,Flushing - Clearview,15.1,6.5,0.6,20.1
Winter 2020-21,UHF42,404,4,Bayside - Little Neck,13.9,6.4,0.6,18.6
Winter 2020-21,UHF42,405,4,Ridgewood - Forest Hills,17,6.7,0.6,21.5
Winter 2020-21,UHF42,406,4,Fresh Meadows,15.5,6.4,0.6,20
Winter 2020-21,UHF42,407,4,Southwest Queens,16.4,6.5,0.6,21.3
Winter 2020-21,UHF42,408,4,Jamaica,17.1,6.7,0.6,20.9
Winter 2020-21,UHF42,409,4,Southeast Queens,15.5,6.5,0.6,19.8
Winter 2020-21,UHF42,410,4,Rockaways,12.3,6.3,0.5,19
Winter 2020-21,UHF42,501,4,Port Richmond,16.7,6.6,0.6,20.8
Winter 2020-21,UHF42,502,4,Stapleton - St. George,15,6.5,0.6,20.1
Winter 2020-21,UHF42,503,4,Willowbrook,14.3,6.5,0.6,18.9
Winter 2020-21,UHF42,504,4,South Beach - Tottenville,13.3,6.5,0.6,17.5
Summer 2020,UHF42,101,4,Kingsbridge - Riverdale,4.8,7.2,0.6,12.2
Summer 2020,UHF42,102,4,Northeast Bronx,4.9,7.2,0.6,13
Summer 2020,UHF42,103,4,Fordham - Bronx Pk,5.1,7.2,0.6,13.2
Summer 2020,UHF42,104,4,Pelham - Throgs Neck,5.3,7.1,0.6,12.1
Summer 2020,UHF42,105,4,Crotona -Tremont,6,7.3,0.6,14.5
Summer 2020,UHF42,106,4,High Bridge - Morrisania,6,7.2,0.6,14.8
Summer 2020,UHF42,107,4,Hunts Point - Mott Haven,7.6,7.5,0.6,14.3
Summer 2020,UHF42,201,4,Greenpoint,10.2,8,0.7,14.7
Summer 2020,UHF42,202,4,Downtown - Heights - Slope,6.6,7.4,0.6,13
Summer 2020,UHF42,203,4,Bedford Stuyvesant - Crown Heights,5.6,7,0.5,11.6
Summer 2020,UHF42,204,4,East New York,5.7,6.9,0.5,10.4
Summer 2020,UHF42,205,4,Sunset Park,6.6,7.3,0.6,11.8
Summer 2020,UHF42,206,4,Borough Park,4.6,6.7,0.4,10.7
Summer 2020,UHF42,207,4,East Flatbush - Flatbush,4.9,6.8,0.4,10.7
Summer 2020,UHF42,208,4,Canarsie - Flatlands,5,6.6,0.4,8.6
Summer 2020,UHF42,209,4,Bensonhurst - Bay Ridge,4.4,6.7,0.4,9.8
Summer 2020,UHF42,210,4,Coney Island - Sheepshead Bay,4.4,6.5,0.4,8.9
Summer 2020,UHF42,211,4,Williamsburg - Bushwick,8.2,7.6,0.6,13.2
Summer 2020,UHF42,301,4,Washington Heights,6,7.3,0.6,14
Summer 2020,UHF42,302,4,Central Harlem - Morningside Heights,5.9,7.4,0.6,14.6
Summer 2020,UHF42,303,4,East Harlem,6,7.3,0.5,14.2
Summer 2020,UHF42,304,4,Upper West Side,6.2,7.2,0.5,15.1
Summer 2020,UHF42,305,4,Upper East Side,6.8,7.4,0.5,16.3
Summer 2020,UHF42,306,4,Chelsea - Clinton,7.2,8.7,0.6,19.3
Summer 2020,UHF42,307,4,Gramercy Park - Murray Hill,6.9,8.4,0.6,19.7
Summer 2020,UHF42,308,4,Greenwich Village - SoHo,6.7,8.4,0.6,16.2
Summer 2020,UHF42,309,4,Union Square - Lower East Side,6.2,8.1,0.6,14.4
Summer 2020,UHF42,310,4,Lower Manhattan,6.3,7.8,0.6,16.6
Summer 2020,UHF42,401,4,Long Island City - Astoria,8.1,7.8,0.6,14.2
Summer 2020,UHF42,402,4,West Queens,7.3,7.4,0.6,12.8
Summer 2020,UHF42,403,4,Flushing - Clearview,5.4,7,0.5,11
Summer 2020,UHF42,404,4,Bayside - Little Neck,4.9,6.7,0.5,8.7
Summer 2020,UHF42,405,4,Ridgewood - Forest Hills,5.4,6.9,0.5,10.5
Summer 2020,UHF42,406,4,Fresh Meadows,4.9,6.7,0.5,9.5
Summer 2020,UHF42,407,4,Southwest Queens,5,6.7,0.4,9.5
Summer 2020,UHF42,408,4,Jamaica,5.3,6.7,0.4,9.3
Summer 2020,UHF42,409,4,Southeast Queens,5,6.6,0.4,8.4
Summer 2020,UHF42,410,4,Rockaways,4.5,6.3,0.3,6
Summer 2020,UHF42,501,4,Port Richmond,4.2,6.9,0.5,9.8
Summer 2020,UHF42,502,4,Stapleton - St. George,3.9,6.6,0.4,8
Summer 2020,UHF42,503,4,Willowbrook,3.7,6.6,0.5,7.8
Summer 2020,UHF42,504,4,South Beach - Tottenville,3.6,6.5,0.4,7.3
Winter 2019-20,UHF42,101,4,Kingsbridge - Riverdale,15.6,6.4,0.6,21.3
Winter 2019-20,UHF42,102,4,Northeast Bronx,16.2,6.7,0.6,21.9
Winter 2019-20,UHF42,103,4,Fordham - Bronx Pk,17.4,6.7,0.6,22.6
Winter 2019-20,UHF42,104,4,Pelham - Throgs Neck,18.2,7.3,0.6,22.2
Winter 2019-20,UHF42,105,4,Crotona -Tremont,20.4,7.4,0.7,24.8
Winter 2019-20,UHF42,106,4,High Bridge - Morrisania,21.5,7.1,0.7,25.8
Winter 2019-20,UHF42,107,4,Hunts Point - Mott Haven,27.9,7.3,0.7,25.3
Winter 2019-20,UHF42,201,4,Greenpoint,42.3,8.6,0.8,29.3
Winter 2019-20,UHF42,202,4,Downtown - Heights - Slope,28.8,8.6,0.7,28.6
Winter 2019-20,UHF42,203,4,Bedford Stuyvesant - Crown Heights,23.8,7.8,0.6,27.6
Winter 2019-20,UHF42,204,4,East New York,23.3,7.4,0.6,25.5
Winter 2019-20,UHF42,205,4,Sunset Park,28.4,8.2,0.6,26.4
Winter 2019-20,UHF42,206,4,Borough Park,18.9,7.5,0.5,25.6
Winter 2019-20,UHF42,207,4,East Flatbush - Flatbush,20,7.5,0.5,26.1
Winter 2019-20,UHF42,208,4,Canarsie - Flatlands,19.5,6.8,0.5,22.9
Winter 2019-20,UHF42,209,4,Bensonhurst - Bay Ridge,17.6,7.6,0.5,23.8
Winter 2019-20,UHF42,210,4,Coney Island - Sheepshead Bay,16.5,7,0.5,22.1
Winter 2019-20,UHF42,211,4,Williamsburg - Bushwick,35.1,8.3,0.7,28.7
Winter 2019-20,UHF42,301,4,Washington Heights,20.8,7.3,0.7,24.6
Winter 2019-20,UHF42,302,4,Central Harlem - Morningside Heights,22,7.6,0.7,26.6
Winter 2019-20,UHF42,303,4,East Harlem,22.4,7.8,0.7,26.8
Winter 2019-20,UHF42,304,4,Upper West Side,23.7,7.9,0.7,28.1
Winter 2019-20,UHF42,305,4,Upper East Side,26.8,8.6,0.7,29.8
Winter 2019-20,UHF42,306,4,Chelsea - Clinton,29.2,11.4,0.9,33.6
